user_id,install_date,event_date,event_type,cohort_date,days_since_install
U00001,2024-02-21,2024-02-28,app_open,2024-02-21,7
U00001,2024-02-21,2024-03-04,app_open,2024-02-21,12
U00001,2024-02-21,2024-03-14,app_open,2024-02-21,22
U00002,2024-01-15,2024-01-28,app_open,2024-01-15,13
U00003,2024-03-12,2024-03-30,app_open,2024-03-12,18
U00004,2024-03-01,2024-03-12,app_open,2024-03-01,11
U00004,2024-03-01,2024-03-18,app_open,2024-03-01,17
U00004,2024-03-01,2024-03-30,app_open,2024-03-01,29
U00004,2024-03-01,2024-03-30,app_open,2024-03-01,29
U00005,2024-01-21,2024-01-29,app_open,2024-01-21,8
U00005,2024-01-21,2024-02-07,app_open,2024-01-21,17
U00005,2024-01-21,2024-02-19,app_open,2024-01-21,29
U00005,2024-01-21,2024-02-19,app_open,2024-01-21,29
U00006,2024-03-23,2024-03-23,app_open,2024-03-23,0
U00006,2024-03-23,2024-04-05,app_open,2024-03-23,13
U00007,2024-03-27,2024-04-04,app_open,2024-03-27,8
U00007,2024-03-27,2024-04-14,app_open,2024-03-27,18
U00007,2024-03-27,2024-04-18,app_open,2024-03-27,22
U00008,2024-03-15,2024-03-28,app_open,2024-03-15,13
U00008,2024-03-15,2024-03-28,app_open,2024-03-15,13
U00009,2024-03-15,2024-03-16,app_open,2024-03-15,1
U00009,2024-03-15,2024-03-16,app_open,2024-03-15,1
U00009,2024-03-15,2024-03-22,app_open,2024-03-15,7
U00009,2024-03-15,2024-03-29,app_open,2024-03-15,14
U00009,2024-03-15,2024-04-02,app_open,2024-03-15,18
U00009,2024-03-15,2024-04-06,app_open,2024-03-15,22
U00010,2024-03-28,2024-04-13,app_open,2024-03-28,16
U00011,2024-01-24,2024-02-15,app_open,2024-01-24,22
U00012,2024-01-03,2024-01-12,app_open,2024-01-03,9
U00013,2024-01-22,2024-02-21,app_open,2024-01-22,30
U00014,2024-02-22,2024-02-23,app_open,2024-02-22,1
U00014,2024-02-22,2024-03-11,app_open,2024-02-22,18
U00014,2024-02-22,2024-03-16,app_open,2024-02-22,23
U00014,2024-02-22,2024-03-20,app_open,2024-02-22,27
U00014,2024-02-22,2024-03-20,app_open,2024-02-22,27
U00015,2024-01-02,2024-01-10,app_open,2024-01-02,8
U00015,2024-01-02,2024-01-28,app_open,2024-01-02,26
U00015,2024-01-02,2024-01-29,app_open,2024-01-02,27
U00016,2024-03-28,2024-04-01,app_open,2024-03-28,4
U00016,2024-03-28,2024-04-26,app_open,2024-03-28,29
U00016,2024-03-28,2024-04-27,app_open,2024-03-28,30
U00017,2024-01-30,2024-02-08,app_open,2024-01-30,9
U00017,2024-01-30,2024-02-10,app_open,2024-01-30,11
U00017,2024-01-30,2024-02-12,app_open,2024-01-30,13
U00017,2024-01-30,2024-02-21,app_open,2024-01-30,22
U00018,2024-02-07,2024-02-15,app_open,2024-02-07,8
U00018,2024-02-07,2024-02-16,app_open,2024-02-07,9
U00019,2024-01-02,2024-01-12,app_open,2024-01-02,10
U00019,2024-01-02,2024-01-16,app_open,2024-01-02,14
U00019,2024-01-02,2024-01-21,app_open,2024-01-02,19
U00019,2024-01-02,2024-01-22,app_open,2024-01-02,20
U00020,2024-03-04,2024-03-26,app_open,2024-03-04,22
U00020,2024-03-04,2024-03-31,app_open,2024-03-04,27
U00020,2024-03-04,2024-04-01,app_open,2024-03-04,28
U00021,2024-02-29,2024-02-29,app_open,2024-02-29,0
U00021,2024-02-29,2024-03-15,app_open,2024-02-29,15
U00021,2024-02-29,2024-03-21,app_open,2024-02-29,21
U00021,2024-02-29,2024-03-29,app_open,2024-02-29,29
U00022,2024-01-21,2024-01-26,app_open,2024-01-21,5
U00022,2024-01-21,2024-01-28,app_open,2024-01-21,7
U00022,2024-01-21,2024-02-15,app_open,2024-01-21,25
U00023,2024-02-02,2024-02-12,app_open,2024-02-02,10
U00023,2024-02-02,2024-02-26,app_open,2024-02-02,24
U00024,2024-03-16,2024-03-17,app_open,2024-03-16,1
U00024,2024-03-16,2024-03-18,app_open,2024-03-16,2
U00024,2024-03-16,2024-04-04,app_open,2024-03-16,19
U00024,2024-03-16,2024-04-09,app_open,2024-03-16,24
U00024,2024-03-16,2024-04-15,app_open,2024-03-16,30
U00025,2024-02-27,2024-02-27,app_open,2024-02-27,0
U00025,2024-02-27,2024-03-16,app_open,2024-02-27,18
U00025,2024-02-27,2024-03-17,app_open,2024-02-27,19
U00026,2024-01-22,2024-02-01,app_open,2024-01-22,10
U00026,2024-01-22,2024-02-09,app_open,2024-01-22,18
U00026,2024-01-22,2024-02-20,app_open,2024-01-22,29
U00027,2024-03-29,2024-04-16,app_open,2024-03-29,18
U00027,2024-03-29,2024-04-20,app_open,2024-03-29,22
U00027,2024-03-29,2024-04-25,app_open,2024-03-29,27
U00027,2024-03-29,2024-04-26,app_open,2024-03-29,28
U00028,2024-02-18,2024-03-12,app_open,2024-02-18,23
U00029,2024-03-31,2024-04-12,app_open,2024-03-31,12
U00029,2024-03-31,2024-04-28,app_open,2024-03-31,28
U00030,2024-02-28,2024-03-11,app_open,2024-02-28,12
U00030,2024-02-28,2024-03-12,app_open,2024-02-28,13
U00030,2024-02-28,2024-03-22,app_open,2024-02-28,23
U00030,2024-02-28,2024-03-26,app_open,2024-02-28,27
U00031,2024-02-11,2024-02-14,app_open,2024-02-11,3
U00031,2024-02-11,2024-02-20,app_open,2024-02-11,9
U00031,2024-02-11,2024-03-08,app_open,2024-02-11,26
U00031,2024-02-11,2024-03-10,app_open,2024-02-11,28
U00032,2024-02-29,2024-03-16,app_open,2024-02-29,16
U00032,2024-02-29,2024-03-24,app_open,2024-02-29,24
U00033,2024-03-20,2024-04-06,app_open,2024-03-20,17
U00033,2024-03-20,2024-04-10,app_open,2024-03-20,21
U00034,2024-01-15,2024-01-20,app_open,2024-01-15,5
U00034,2024-01-15,2024-01-22,app_open,2024-01-15,7
U00034,2024-01-15,2024-01-29,app_open,2024-01-15,14
U00034,2024-01-15,2024-02-01,app_open,2024-01-15,17
U00035,2024-03-02,2024-03-10,app_open,2024-03-02,8
U00035,2024-03-02,2024-03-18,app_open,2024-03-02,16
U00035,2024-03-02,2024-03-20,app_open,2024-03-02,18
U00036,2024-03-02,2024-03-08,app_open,2024-03-02,6
U00037,2024-02-16,2024-02-19,app_open,2024-02-16,3
U00037,2024-02-16,2024-02-21,app_open,2024-02-16,5
U00037,2024-02-16,2024-02-21,app_open,2024-02-16,5
U00037,2024-02-16,2024-02-24,app_open,2024-02-16,8
U00037,2024-02-16,2024-03-13,app_open,2024-02-16,26
U00038,2024-03-02,2024-03-14,app_open,2024-03-02,12
U00038,2024-03-02,2024-03-23,app_open,2024-03-02,21
U00038,2024-03-02,2024-03-25,app_open,2024-03-02,23
