user_id,install_date,event_date,event_type
U00001,2024-02-21,2024-03-04,app_open
U00001,2024-02-21,2024-02-28,app_open
U00001,2024-02-21,2024-03-14,app_open
U00002,2024-01-15,2024-01-28,app_open
U00003,2024-03-12,2024-03-30,app_open
U00004,2024-03-01,2024-03-12,app_open
U00004,2024-03-01,2024-03-30,app_open
U00004,2024-03-01,2024-03-18,app_open
U00004,2024-03-01,2024-03-30,app_open
U00005,2024-01-21,2024-01-29,app_open
U00005,2024-01-21,2024-02-19,app_open
U00005,2024-01-21,2024-02-07,app_open
U00005,2024-01-21,2024-02-19,app_open
U00006,2024-03-23,2024-04-05,app_open
U00006,2024-03-23,2024-03-23,app_open
U00007,2024-03-27,2024-04-14,app_open
U00007,2024-03-27,2024-04-18,app_open
U00007,2024-03-27,2024-04-04,app_open
U00008,2024-03-15,2024-03-28,app_open
U00008,2024-03-15,2024-03-28,app_open
U00009,2024-03-15,2024-04-06,app_open
U00009,2024-03-15,2024-03-29,app_open
U00009,2024-03-15,2024-04-02,app_open
U00009,2024-03-15,2024-03-22,app_open
U00009,2024-03-15,2024-03-16,app_open
U00009,2024-03-15,2024-03-16,app_open
U00010,2024-03-28,2024-04-13,app_open
U00011,2024-01-24,2024-02-15,app_open
U00012,2024-01-03,2024-01-12,app_open
U00013,2024-01-22,2024-02-21,app_open
U00014,2024-02-22,2024-03-20,app_open
U00014,2024-02-22,2024-02-23,app_open
U00014,2024-02-22,2024-03-20,app_open
U00014,2024-02-22,2024-03-11,app_open
U00014,2024-02-22,2024-03-16,app_open
U00015,2024-01-02,2024-01-28,app_open
U00015,2024-01-02,2024-01-29,app_open
U00015,2024-01-02,2024-01-10,app_open
U00016,2024-03-28,2024-04-27,app_open
U00016,2024-03-28,2024-04-01,app_open
U00016,2024-03-28,2024-04-26,app_open
U00017,2024-01-30,2024-02-12,app_open
U00017,2024-01-30,2024-02-10,app_open
U00017,2024-01-30,2024-02-21,app_open
U00017,2024-01-30,2024-02-08,app_open
U00018,2024-02-07,2024-02-15,app_open
U00018,2024-02-07,2024-02-16,app_open
U00019,2024-01-02,2024-01-12,app_open
U00019,2024-01-02,2024-01-16,app_open
U00019,2024-01-02,2024-01-22,app_open
U00019,2024-01-02,2024-01-21,app_open
U00020,2024-03-04,2024-04-01,app_open
U00020,2024-03-04,2024-03-31,app_open
U00020,2024-03-04,2024-03-26,app_open
U00021,2024-02-29,2024-03-29,app_open
U00021,2024-02-29,2024-02-29,app_open
U00021,2024-02-29,2024-03-15,app_open
U00021,2024-02-29,2024-03-21,app_open
U00022,2024-01-21,2024-02-15,app_open
U00022,2024-01-21,2024-01-28,app_open
U00022,2024-01-21,2024-01-26,app_open
U00023,2024-02-02,2024-02-12,app_open
U00023,2024-02-02,2024-02-26,app_open
U00024,2024-03-16,2024-04-15,app_open
U00024,2024-03-16,2024-04-04,app_open
U00024,2024-03-16,2024-03-17,app_open
U00024,2024-03-16,2024-04-09,app_open
U00024,2024-03-16,2024-03-18,app_open
U00025,2024-02-27,2024-03-17,app_open
U00025,2024-02-27,2024-03-16,app_open
U00025,2024-02-27,2024-02-27,app_open
U00026,2024-01-22,2024-02-09,app_open
U00026,2024-01-22,2024-02-01,app_open
U00026,2024-01-22,2024-02-20,app_open
U00027,2024-03-29,2024-04-25,app_open
U00027,2024-03-29,2024-04-26,app_open
U00027,2024-03-29,2024-04-20,app_open
U00027,2024-03-29,2024-04-16,app_open
U00028,2024-02-18,2024-03-12,app_open
U00029,2024-03-31,2024-04-28,app_open
U00029,2024-03-31,2024-04-12,app_open
U00030,2024-02-28,2024-03-11,app_open
U00030,2024-02-28,2024-03-26,app_open
U00030,2024-02-28,2024-03-12,app_open
U00030,2024-02-28,2024-03-22,app_open
U00031,2024-02-11,2024-03-08,app_open
U00031,2024-02-11,2024-03-10,app_open
U00031,2024-02-11,2024-02-14,app_open
U00031,2024-02-11,2024-02-20,app_open
U00032,2024-02-29,2024-03-24,app_open
U00032,2024-02-29,2024-03-16,app_open
U00033,2024-03-20,2024-04-06,app_open
U00033,2024-03-20,2024-04-10,app_open
U00034,2024-01-15,2024-01-29,app_open
U00034,2024-01-15,2024-01-22,app_open
U00034,2024-01-15,2024-01-20,app_open
U00034,2024-01-15,2024-02-01,app_open
U00035,2024-03-02,2024-03-18,app_open
U00035,2024-03-02,2024-03-10,app_open
U00035,2024-03-02,2024-03-20,app_open
U00036,2024-03-02,2024-03-08,app_open
U00037,2024-02-16,2024-02-21,app_open
U00037,2024-02-16,2024-02-21,app_open
U00037,2024-02-16,2024-02-24,app_open
U00037,2024-02-16,2024-02-19,app_open
U00037,2024-02-16,2024-03-13,app_open
U00038,2024-03-02,2024-03-14,app_open
U00038,2024-03-02,2024-03-27,app_open
U00038,2024-03-02,2024-03-23,app_open
U00038,2024-03-02,2024-03-29,app_open
U00038,2024-03-02,2024-03-25,app_open
U00038,2024-03-02,2024-03-30,app_open
U00039,2024-02-20,2024-03-06,app_open
U00039,2024-02-20,2024-02-20,app_open
U00039,2024-02-20,2024-03-19,app_open
U00040,2024-02-24,2024-03-16,app_open
U00040,2024-02-24,2024-03-17,app_open
U00040,2024-02-24,2024-03-08,app_open
U00040,2024-02-24,2024-03-20,app_open
U00041,2024-03-04,2024-03-07,app_open
U00041,2024-03-04,2024-03-21,app_open
U00041,2024-03-04,2024-03-27,app_open
U00042,2024-01-03,2024-01-29,app_open
U00043,2024-02-20,2024-02-23,app_open
U00043,2024-02-20,2024-03-19,app_open
U00044,2024-01-07,2024-01-30,app_open
U00044,2024-01-07,2024-01-21,app_open
U00044,2024-01-07,2024-02-01,app_open
U00044,2024-01-07,2024-01-22,app_open
U00044,2024-01-07,2024-01-27,app_open
U00045,2024-01-21,2024-02-11,app_open
U00045,2024-01-21,2024-01-26,app_open
U00046,2024-03-13,2024-04-05,app_open
U00047,2024-02-08,2024-02-27,app_open
U00047,2024-02-08,2024-02-21,app_open
U00048,2024-01-18,2024-01-24,app_open
U00048,2024-01-18,2024-01-27,app_open
U00048,2024-01-18,2024-02-02,app_open
U00049,2024-01-04,2024-01-24,app_open
U00050,2024-03-29,2024-04-03,app_open
U00050,2024-03-29,2024-04-22,app_open
U00051,2024-02-29,2024-02-29,app_open
U00052,2024-01-14,2024-01-14,app_open
U00052,2024-01-14,2024-02-07,app_open
U00052,2024-01-14,2024-01-14,app_open
U00052,2024-01-14,2024-01-23,app_open
U00052,2024-01-14,2024-01-23,app_open
U00052,2024-01-14,2024-01-16,app_open
U00052,2024-01-14,2024-01-30,app_open
U00052,2024-01-14,2024-02-01,app_open
U00053,2024-01-09,2024-02-05,app_open
U00053,2024-01-09,2024-01-22,app_open
U00053,2024-01-09,2024-01-12,app_open
U00054,2024-03-30,2024-04-16,app_open
U00054,2024-03-30,2024-04-01,app_open
U00055,2024-02-22,2024-03-02,app_open
U00055,2024-02-22,2024-03-07,app_open
U00055,2024-02-22,2024-02-22,app_open
U00056,2024-01-02,2024-01-30,app_open
U00056,2024-01-02,2024-01-23,app_open
U00057,2024-03-24,2024-04-01,app_open
U00057,2024-03-24,2024-04-14,app_open
U00058,2024-02-29,2024-03-18,app_open
U00058,2024-02-29,2024-03-26,app_open
U00058,2024-02-29,2024-03-21,app_open
U00059,2024-03-11,2024-03-24,app_open
U00059,2024-03-11,2024-04-10,app_open
U00060,2024-02-13,2024-02-22,app_open
U00060,2024-02-13,2024-02-28,app_open
U00060,2024-02-13,2024-02-19,app_open
U00060,2024-02-13,2024-02-16,app_open
U00061,2024-01-08,2024-01-29,app_open
U00061,2024-01-08,2024-01-30,app_open
U00061,2024-01-08,2024-02-07,app_open
U00061,2024-01-08,2024-01-24,app_open
U00062,2024-02-16,2024-02-26,app_open
U00062,2024-02-16,2024-03-02,app_open
U00062,2024-02-16,2024-03-05,app_open
U00063,2024-02-04,2024-02-19,app_open
U00063,2024-02-04,2024-02-19,app_open
U00064,2024-03-18,2024-04-12,app_open
U00064,2024-03-18,2024-04-08,app_open
U00064,2024-03-18,2024-04-09,app_open
